Mercedes Benz C Class  2007 C180 for Sale, 33 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2007-for-sale-in-lahore-9700517, Lahore, 2007, 100,000 km, Petrol, 2000 cc, 
Mercedes Benz C Class  2009 C180 for Sale, 56 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2009-for-sale-in-lahore-9700470, Lahore, 2009, 150,000 km, Petrol, 1800 cc, 
Mercedes Benz C Class  2006 C180 for Sale, 28 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2006-for-sale-in-gujranwala-9700296, Gujranwala, 2006, 80,000 km, Petrol, 2000 cc, 
Mercedes Benz E Class 4th (W212) Generation 2011 E250 for Sale, 95 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2011-for-sale-in-lahore-9531141, Lahore, 2011, 112,487 km, Petrol, 2100 cc, 
Mercedes Benz E Class 5th (W213) Generation 2021 E 180 AMG for Sale, 3.25 crore, https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2021-for-sale-in-lahore-9581375, Lahore, 2021, 54,058 km, Petrol, 1500 cc, 
Mercedes Benz E Class 4th (W212) Generation 2011 E250 for Sale, 95 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2011-for-sale-in-lahore-9531141, Lahore, 2011, 112,487 km, Petrol, 2100 cc, 
Mercedes Benz E Class 5th (W213) Generation 2021 E 180 AMG for Sale, 3.25 crore, https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2021-for-sale-in-lahore-9581375, Lahore, 2021, 54,058 km, Petrol, 1500 cc, 
Toyota Land Cruiser  1987  for Sale, 60 lacs, https://www.pakwheels.com/used-cars/toyota-land-cruiser-1987-for-sale-in-lahore-9544093, Lahore, 1987, 417 km, Petrol, 3400 cc, 
Mercedes Benz C Class  2007 C180 for Sale, 51.5 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2007-for-sale-in-islamabad-9659596, Islamabad, 2007, 99,316 km, Petrol, 1800 cc, 
Mercedes Benz E Class 4th (W212) Generation 2013 E200 for Sale, 1.14 crore, https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2013-for-sale-in-islamabad-9699730, Islamabad, 2013, 44,000 km, Petrol, 1800 cc, 
Mercedes Benz S Class  2006 S350 for Sale, 1.2 crore, https://www.pakwheels.com/used-cars/mercedes-benz-s-class-2006-for-sale-in-lahore-9699079, Lahore, 2006, 124,368 km, Petrol, 3500 cc, 
Mercedes Benz C Class  2012 C200 for Sale, 75 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2012-for-sale-in-islamabad-9689167, Islamabad, 2012, 112,000 km, Petrol, 1800 cc, 
Mercedes Benz E Class 3rd (W211) Generation 2004 E200 for Sale, 44.5 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2004-for-sale-in-lahore-9680487, Lahore, 2004, 91,000 km, Petrol, 1800 cc, 
Mercedes Benz C Class  2022 C180 AMG for Sale, 3.27 crore, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2022-for-sale-in-lahore-9566702, Lahore, 2022, 11,000 km, Petrol, 1500 cc, 
Mercedes Benz E Class 5th (W213) Generation 2020 E 180 AMG for Sale, 2.4 crore, https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2020-for-sale-in-lahore-9653247, Lahore, 2020, 58,000 km, Petrol, 1500 cc, 
Mercedes Benz C Class Cabriolet  2021 C 180 for Sale, 2.79 crore, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-cabriolet-2021-for-sale-in-lahore-9503727, Lahore, 2021, 19,000 km, Petrol, 1600 cc, 
Mercedes Benz EQC  2020 400 4MATIC for Sale, 1.85 crore, https://www.pakwheels.com/used-cars/mercedes-benz-eqc-2020-for-sale-in-karachi-9518019, Karachi, 2020, 43,000 km, Electric, 800.0 kWh, 
Mercedes Benz C Class  2021 C200 for Sale, 3.1 crore, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2021-for-sale-in-sialkot-9700128, Sialkot, 2021, 20,000 km, Petrol, 2000 cc, 
Mercedes Benz E Class 3rd (W211) Generation 2005 E200 for Sale, 39.5 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2005-for-sale-in-lahore-9699895, Lahore, 2005, 116,000 km, Petrol, 1800 cc, 
Mercedes Benz C Class  2007 C180 for Sale, 51.5 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2007-for-sale-in-islamabad-9644923, Islamabad, 2007, 99,316 km, Petrol, 2000 cc, 
Mercedes Benz CLA Class  2017 CLA200 for Sale, 1.35 crore, https://www.pakwheels.com/used-cars/mercedes-benz-cla-class-2017-for-sale-in-karachi-9699297, Karachi, 2017, 16,000 km, Petrol, 1600 cc, 
Mercedes Benz E Class 3rd (W211) Generation 2004 E 200 Kompressor Elegance for Sale, 36 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2004-for-sale-in-peshawar-9698956, Peshawar, 2004, 224,000 km, Petrol, 1800 cc, 
Mercedes Benz C Class  2003  for Sale, 26 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2003-for-sale-in-rawalpindi-9698943, Rawalpindi, 2003, 123 km, Petrol, 1800 cc, 
Mercedes Benz C Class  2007 C200 for Sale, 48 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2007-for-sale-in-islamabad-9698806, Islamabad, 2007, 102,000 km, Petrol, 1800 cc, 
Mercedes Benz E Class  1996  for Sale, 29 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-e-class-1996-for-sale-in-rawalpindi-9698761, Rawalpindi, 1996, 275,000 km, Petrol, 2000 cc, 
Mercedes Benz EQC  2020 400 4MATIC for Sale, 1.89 crore, https://www.pakwheels.com/used-cars/mercedes-benz-eqc-2020-for-sale-in-karachi-8991953, Karachi, 2020, 43,000 km, Electric, 80.0 kWh, 
SsangYong Stavic  2006  for Sale, 25 lacs, https://www.pakwheels.com/used-cars/ssangyong-stavic-2006-for-sale-in-faisalabad-8083039, Faisalabad, 2006, 120,000 km, Diesel, 2700 cc, 
Mercedes Benz C Class  2012 C180 for Sale, 67 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2012-for-sale-in-islamabad-9572512, Islamabad, 2012, 91,640 km, Petrol, 1800 cc, 
Mercedes Benz C Class  2004  for Sale, 45 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2004-for-sale-in-lahore-9668308, Lahore, 2004, 20,000 km, Petrol, 1800 cc, 
Mercedes Benz C Class  2003 C180 for Sale, 29.7 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2003-for-sale-in-lahore-9695302, Lahore, 2003, 132,000 km, Petrol, 2000 cc, 
Mercedes Benz E Class  2008 E 200 Kompressor Elegance for Sale, 61.5 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2008-for-sale-in-islamabad-9697309, Islamabad, 2008, 117,000 km, Petrol, 1800 cc, 
Mercedes Benz CLK Class  2008 CLK200 Kompressor for Sale, 78 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-clk-class-2008-for-sale-in-lahore-9571094, Lahore, 2008, 78,000 km, Petrol, 1800 cc, 
Mercedes Benz EQC  2020 400 4MATIC for Sale, 1.89 crore, https://www.pakwheels.com/used-cars/mercedes-benz-eqc-2020-for-sale-in-karachi-8991953, Karachi, 2020, 43,000 km, Electric, 80.0 kWh, 
Mercedes Benz C Class  2012 C180 for Sale, 67 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2012-for-sale-in-islamabad-9572512, Islamabad, 2012, 91,640 km, Petrol, 1800 cc, 
Mercedes Benz C Class  2004  for Sale, 45 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2004-for-sale-in-lahore-9668308, Lahore, 2004, 20,000 km, Petrol, 1800 cc, 
Mercedes Benz CLK Class  2008 CLK200 Kompressor for Sale, 78 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-clk-class-2008-for-sale-in-lahore-9571094, Lahore, 2008, 78,000 km, Petrol, 1800 cc, 
Mercedes Benz C Class  2020 C180 Exclusive for Sale, 1.9 crore, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2020-for-sale-in-lahore-9668536, Lahore, 2020, 40,000 km, Petrol, 1600 cc, 
Mercedes Benz C Class  2022 C180 AMG for Sale, 3.4 crore, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2022-for-sale-in-lahore-9656915, Lahore, 2022, 19,000 km, Petrol, 1500 cc, 
Mercedes Benz C Class  2012 C200 for Sale, 85 lacs, https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2012-for-sale-in-islamabad-9696316, Islamabad, 2012, 130,000 km, Petrol, 1800 cc, 
